1;CAROLE;489799930;25224350;489800230;25226330
2;DIJON;473649320;48997000;473647630;48999480
3;CLASTRES;497498700;32095770;497497180;32096110
4;HOME;490062020;22424890;490061990;22423560
5;BUGATTI;479498700;2076700;479498750;2074090
6;LA FERTE G.;487570550;32791300;487569310;32793260
7;CROIX EN T.;503790380;22962350;503788880;22963250
8;FOLEMBRAY;495445990;33013880;495444390;33015760
